year,doi,acmid,name,newName
1989,10.1145/67449.67514,81100429025,G. Engelbeck,George E. Engelbeck
1986,10.1145/22627.22352,81100429025,G. Engelbeck,George E. Engelbeck
1999,10.1145/302979.303150,81100435029,J. Cassell,Justine Cassell
1988,10.1145/57167.57170,81100440831,B. Bischoff,Bradford Bischoff
1986,10.1145/22627.22348,81100448368,R. Baecker,Ronald M. Baecker
1988,10.1145/57167.57176,81100450280,M. Frese,Michael Frese
1988,10.1145/57167.57197,81100458591,J. Zaback,Jay Zaback
1988,10.1145/57167.57212,81100464175,L. Allinson,Lesley Allinson
1983,10.1145/800045.801627,81100465973,L. Bannon,Liam J. Bannon
1983,10.1145/800045.801577,81100466738,J. Long,John Brian Long
1982,10.1145/800049.801744,81100469779,P. Barnard,Phil J. Barnard
1983,10.1145/800045.801577,81100469779,P. Barnard,Phil J. Barnard
1986,10.1145/22627.22377,81100469779,P. Barnard,Phil J. Barnard
1988,10.1145/57167.57187,81100469779,P. Barnard,Phil J. Barnard
1989,10.1145/67449.67494,81100493697,M. Dalrymple,Mary Dalrymple
1999,10.1145/302979.303150,81100499261,M. Billinghurst,Mark Billinghurst
1986,10.1145/22627.22350,81100505984,J. Karat,John Karat
1986,10.1145/22627.22378,81100512851,J. Whiteside,John A. Whiteside
1989,10.1145/67449.67501,81100517817,R. McCall,Raymond J. McCall
1986,10.1145/22627.22368,81100522364,N. Cunniff,Nancy Cunniff
1989,10.1145/67449.67453,81100526397,T. Simon,Tony J. Simon
1988,10.1145/57167.57191,81100529754,T. Finin,Tim Finin
1988,10.1145/57167.57187,81100531210,M. Wilson,Michael Wilson
1986,10.1145/22627.22377,81100531210,M. Wilson,Michael Wilson
1988,10.1145/57167.57178,81100536778,C. Gibbs,Christina Gibbs
1992,10.1145/142750.142800,81100540194,M. Lind,Mats Lind
1992,10.1145/142750.142897,81100544503,S. Kay,Stephen M. Kay
1986,10.1145/22627.22358,81100547695,P. Orwick,Penny Orwick
1990,10.1145/97243.97270,81100552470,T. Calvert,Tom W. Calvert
1989,10.1145/67449.67502,81100557538,C. Wiecha,Charles F. Wiecha
1988,10.1145/57167.57188,81100562339,J. Patterson,John F. Patterson
1992,10.1145/142750.142897,81100575071,B. Horan,Bernard Horan
1986,10.1145/22627.22348,81100583778,A. Marcus,Aaron Marcus
1986,10.1145/22627.22366,81100584582,J. Nielsen,Jakob Nielsen
1989,10.1145/67449.67504,81100590721,T. Whalen,Thomas E. Whalen
1992,10.1145/142750.142800,81100594492,E. Nygren,Else Nygren
1982,10.1145/800049.801744,81100609167,A. MacLean,Allan MacLean
1986,10.1145/22627.22377,81100609167,A. MacLean,Allan MacLean
1989,10.1145/67449.67497,81100609167,A. MacLean,Allan MacLean
1983,10.1145/800045.801577,81100609167,A. MacLean,Allan MacLean
1988,10.1145/57167.57190,81100609167,A. MacLean,Allan MacLean
1988,10.1145/57167.57187,81100609167,A. MacLean,Allan MacLean
