year,doi,acmid,name,affiliation,note
2023,10.1145/3544548.3581464,99660782408,Jiaxun Cao,"Duke Kunshan University, Suzhou, China",
2023,10.1145/3544548.3581464,99658689004,Xin Tong,"Duke Kunshan University, Suzhou, China",
2023,10.1145/3544548.3581464,99659502245,RAY LC,"City University of Hong Kong, Hong Kong, China",
2023,10.1145/3544548.3581489,99659463679,Ashlee Milton,"University of Minnesota, Minneapolis, USA",
2023,10.1145/3544548.3581489,99659897213,Leah Ajmani,"University of Minnesota, Minneapolis, USA",
2023,10.1145/3544548.3581489,99659130873,Michael Ann DeVito,"University of Colorado Boulder, United States, USA",
2023,10.1145/3544548.3581489,99658724335,Stevie Chancellor,"University of Minnesota, Minneapolis, USA",
2023,10.1145/3544548.3581530,99659588610,Lingyuan Li,"Clemson University, Clemson, SC, USA",
2023,10.1145/3544548.3581530,99658639182,Guo Freeman,"Clemson University, Clemson, SC, USA",
2023,10.1145/3544548.3581530,99659959850,Kelsea Schulenberg,"Clemson University, Clemson, SC, USA",
2023,10.1145/3544548.3581530,99659702414,Dane Acena,"Clemson University, Clemson, SC, USA",
2023,10.1145/3544548.3581566,99659476649,"Xingyu ""Bruce"" Liu","UCLA, Los Angeles, CA, USA",
2023,10.1145/3544548.3581566,99660781781,Vladimir Kirilyuk,"Google Research, Mountain View, CA, USA",
2023,10.1145/3544548.3581566,99660783281,Xiuxiu Yuan,"Google Research, Mountain View, CA, USA",
2023,10.1145/3544548.3581566,81309497296,Alex Olwal,"Google Research, Mountain View, CA, USA",
2023,10.1145/3544548.3581566,81440599192,Peggy Chi,"Google Research, Mountain View, CA, USA",
2023,10.1145/3544548.3581566,99659468135,"Xiang ""Anthony"" Chen","UCLA, Los Angeles, CA, USA",
2023,10.1145/3544548.3581566,99658704468,Ruofei Du,"Google Research, Mountain View, CA, USA",
