year,doi,acmid,name,affiliation,note
1992,10.1145/142750.142897,99659733858,D. Robinson,"University of Sheffield, England, UK",
1992,10.1145/142750.142897,81332535529,A. Wilson,"University of Manchester, Manchester, England, UK",
1992,10.1145/142750.142898,81332517372,Michael J. Muller,"Bellcore, Piscataway, NJ, USA",
1992,10.1145/142750.142900,81332526436,Paul Seaton,"System Concepts, Museum House, London, UK",
1992,10.1145/142750.142900,99659411453,Tom Stewart,"System Concepts, Museum House, London, UK",
1992,10.1145/142750.142902,81100642568,John Rieman,"University of Colorado, Boulder, CO, USA",
1992,10.1145/142750.142902,81452615178,Susan Davies,"University of Colorado, Boulder, CO, USA",
1992,10.1145/142750.142902,81332523954,Jonathan Roberts,"University of Colorado, Boulder, CO, USA",
1992,10.1145/142750.142904,81332528115,John B. Smith,"University of North Carolina, Chapel Hill, NC, USA",
1992,10.1145/142750.142904,81100154971,Marcy Lansman,"University of North Carolina, Chapel Hill, NC, USA",
1992,10.1145/142750.142905,81406599725,Jinwoo Kim,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142905,81100223021,F. Javier Lerch,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142908,81329489045,Raymonde Guindon,"Stanford University, Stanford, CA, USA",
1992,10.1145/142750.142912,81100625746,Pedro Szekely,"USC, Marina del Rey, CA, USA",
1992,10.1145/142750.142912,99659403975,Ping Luo,"USC, Marina del Rey, CA, USA",
1992,10.1145/142750.142912,81327490788,Robert Neches,"USC, Marina del Rey, CA, USA",
1992,10.1145/142750.142915,81100023946,Thomas Ferrin,"University of California at San Francisco, San Francisco, CA, USA",
1992,10.1145/142750.142915,81100083250,Conrad Huang,"University of California at San Francisco, San Francisco, CA, USA",
1992,10.1145/142750.142915,81100436562,Gregory Couch,"University of California at San Francisco, San Francisco, CA, USA",
1992,10.1145/142750.142915,81430662578,Eric Pettersen,"University of California at San Francisco, San Francisco, CA, USA",
1992,10.1145/142750.142915,81100211094,Robert Langridge,"University of California at San Francisco, San Francisco, CA, USA",
1992,10.1145/142750.142918,81100415222,Arthur James,"Apple Computer, Cupertino, CA, USA",
1992,10.1145/142750.142918,81452612201,James C. Spohrer,"Apple Computer, Cupertino, CA, USA",
1992,10.1145/142750.142977,81100363076,Hiroshi Ishii,"NTT Human Interface Laboratories, 1-2356 Take, Yokosuka-Shi, Kanagawa, Japan",
1992,10.1145/142750.142977,81100604089,Minoru Kobayashi,"NTT Human Interface Laboratories, 1-2356 Take, Yokosuka-Shi, Kanagawa, Japan",
1992,10.1145/142750.142980,81100072975,Hideaki Kuzuoka,"University of Tokyo, Tokyo, Japan",
1992,10.1145/142750.142982,81100521529,Paul Dourish,"Rank Xerox EuroPARC, Cambridge, UK",
1992,10.1145/142750.142982,81100274421,Sara Bly,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.142986,81339520181,Jakob Nielsen,"Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.142986,81100527407,Rita M. Bush,"Bellcore, Piscataway, NJ, USA",
1992,10.1145/142750.142986,81100070160,Tom Dayton,"Bellcore, Piscataway, NJ, USA",
1992,10.1145/142750.142986,81332516718,Nancy E. Mond,"Bellcore, Piscataway, NJ, USA",
1992,10.1145/142750.142986,81332517372,Michael J. Muller,"Bellcore, Piscataway, NJ, USA",
1992,10.1145/142750.142986,81100201167,Robert W. Root,"Bellcore, Piscataway, NJ, USA",
1992,10.1145/142750.142989,81100437367,Deborah Mrazek,"Hewlett-Packard Corporation, Roseville, CA, USA",
1992,10.1145/142750.142989,81332522247,Michael Rafeld,"Hewlett-Packard Corporation, Roseville, CA, USA",
1992,10.1145/142750.143003,81392615221,M. A. Apollonio,"R&D Division, Multimedia Group, Valenzano, Italy",
1992,10.1145/142750.143003,81392603250,G. Colasante,"R&D Division, Multimedia Group, Valenzano, Italy",
1992,10.1145/142750.143003,81392601985,P. G. De Luca,"R&D Division, Multimedia Group, Valenzano, Italy",
1992,10.1145/142750.143003,81392590921,A. Diana,"R&D Division, Multimedia Group, Valenzano, Italy",
1992,10.1145/142750.143003,81100606678,A. Gisotti,"R&D Division, Multimedia Group, Valenzano, Italy",
1992,10.1145/142750.143007,81406594598,William Newman,"Rank Xerox EuroPARC, Cambridge, UK",
1992,10.1145/142750.143007,81100048413,Pierre Wellner,"Rank Xerox EuroPARC, Cambridge, UK",
1992,10.1145/142750.143011,81100242853,Masayuki Tani,"Hitachi Research Laboratory, Ibaraki-ken, Japan",
