acmid,orcid
87358607257,0000-0002-8497-3015
83059048357,0000-0002-1496-3794
87658692957,0000-0002-4383-8888
81414597830,0000-0002-0359-206X
99658705846,0000-0002-7646-5563
81461646439,0000-0002-4590-106X
99658707626,0000-0001-9371-9441
99658652727,0000-0003-2283-8587
60000000516,0000-0002-6474-8080
81508705985,0000-0002-0627-8658
81503680670,0000-0002-9986-3345
87958813957,0000-0003-3670-1813
81485658533,0000-0003-4418-5783
81557539956,0000-0002-3912-6490
81100432058,0000-0001-6463-4828
81553902156,0000-0002-9507-6192
87959132657,0000-0002-1499-3045
99658699068,0000-0002-9843-942X
81470641901,0000-0001-6317-7987
81460657992,0000-0002-8164-0303
99659261439,0000-0002-8842-2317
87258679957,0000-0002-7904-1504
83059053057,0000-0001-9807-120X
81490695001,0000-0002-8916-8787
89758668257,0000-0002-7888-2598
81548020667,0000-0003-4124-8697
81377594403,0000-0002-0768-1019
81436598350,0000-0001-6098-7861
81490649352,0000-0003-4066-3645
81320487465,0000-0003-4978-8479
99658640651,0000-0002-9425-0881
81548025596,0000-0003-2472-6968
81309485815,0000-0001-7904-4257
99659830458,0000-0002-9391-6274
81488670562,0000-0002-1351-6976
99659155646,0000-0003-3294-9555
99659021161,0000-0002-3448-5961
99659503945,0000-0003-0341-448X
99659130921,0000-0002-7540-075X
81438595973,0000-0002-7364-139X
99659019887,0000-0002-6487-874X
99658642648,0000-0001-7298-7607
99658635901,0000-0002-4447-7818
99659019881,0000-0003-3743-7858
99659020443,0000-0002-4255-3725
99658641429,0000-0003-2619-5996
81467645148,0000-0003-3790-5834
81549578256,0000-0002-5870-1120
99658750237,0000-0002-8688-1595
99659019513,0000-0003-3887-446X
99659020601,0000-0002-6757-9753
99658724335,0000-0003-0620-0903
81486653672,0000-0003-3388-0166
81548783656,0000-0002-8474-5290
99659135375,0000-0002-4971-2004
81372591106,0000-0002-6257-876X
81486645894,0000-0002-6240-8445
81502650318,0000-0001-6437-0463
99658693776,0000-0002-9512-828X
81100535951,0000-0002-5501-4421
99658743711,0000-0001-5106-7692
99659021231,0000-0001-6652-071X
89758733557,0000-0002-8197-9905
99658714851,0000-0003-4024-8871
99658691737,0000-0002-9122-5242
99659020706,0000-0002-0798-4351
99658688428,0000-0002-9200-6914
99659021698,0000-0002-3548-2535
81479641265,0000-0002-0017-396X
99658733629,0000-0001-5007-2828
81435594270,0000-0003-3870-636X
81314493435,0000-0002-8468-4037
99658987040,0000-0001-6134-3531
87959145157,0000-0002-8655-5327
99659022154,0000-0002-2681-2774
99659020899,0000-0002-9851-6608
84460003257,0000-0002-3440-1115
83458634157,0000-0002-5527-3028
81418592476,0000-0002-3882-3243
81100483855,0000-0002-1382-2914
99659020791,0000-0002-9566-7195
87358710757,0000-0003-2235-6078
99659021324,0000-0002-8673-1941
99658639182,0000-0001-5107-7794
81556774656,0000-0002-4353-7620
89558862057,0000-0001-5422-1018
81498658319,0000-0002-7442-2607
81556182356,0000-0002-0686-7911
84459698057,0000-0002-0123-3792
83358692957,0000-0003-1036-2497
99659022124,0000-0001-5456-8126
99658762070,0000-0001-8041-7962
89758751957,0000-0002-3110-1053
99659272366,0000-0001-7051-5200
99659035156,0000-0003-3882-3144
99659163367,0000-0002-2830-3084
99659131304,0000-0002-4050-4284
99659161949,0000-0002-2488-6032
81442608558,0000-0001-7354-260X
81384605843,0000-0001-9405-0399
81502793279,0000-0003-2761-1429
81442614375,0000-0002-8051-3230
81100452353,0000-0002-2498-0643
81100527572,0000-0003-4063-9944
83059070757,0000-0002-6962-6920
99659163160,0000-0003-0355-3041
87958889857,0000-0002-3340-551X
81453639687,0000-0001-6935-9028
99658650866,0000-0003-4102-2575
99658657870,0000-0003-1438-2882
81100409371,0000-0001-5888-5268
81332503491,0000-0002-2161-6395
81340492349,0000-0002-6330-3637
81545822456,0000-0002-5092-8603
99658638249,0000-0002-5072-8775
81551225556,0000-0001-9578-9953
99659029834,0000-0002-1771-0565
81487645560,0000-0001-7966-2389
99659161476,0000-0002-4230-3777
81551044556,0000-0002-3198-6373
81503661713,0000-0002-9197-0613
99658649184,0000-0002-9436-7940
99659130873,0000-0003-1001-2307
99659160990,0000-0002-3272-9176
81100649938,0000-0002-6041-178X
87258829257,0000-0003-3930-8128
81493659837,0000-0002-4421-1016
81488647680,0000-0002-5079-5927
81456631418,0000-0001-5460-9047
81435607558,0000-0002-3900-4944
87958930557,0000-0002-9922-5538
87258822957,0000-0002-9152-7793
87258818557,0000-0001-6572-0242
81474669644,0000-0001-9047-0257
99659161539,0000-0002-3698-9733
99659162430,0000-0003-3229-4341
99659130362,0000-0001-8890-5557
86159053057,0000-0002-3144-9957
87059293557,0000-0001-5063-3808
88158989757,0000-0002-4772-1265
81100437540,0000-0002-9804-0857
81452611166,0000-0002-1768-7043
99658701819,0000-0001-8542-6913
81467642436,0000-0001-8735-4810
82258782457,0000-0002-9319-8559
99658764620,0000-0002-8417-191X
99658985626,0000-0002-4398-5060
81548019794,0000-0001-6956-3459
99659161231,0000-0001-5069-6817
81543253556,0000-0002-0975-9019
81550645756,0000-0003-1306-0283
89758718057,0000-0001-6095-2570
89758706757,0000-0002-1824-0243
99658698158,0000-0003-3081-1587
81320489242,0000-0002-4838-3413
99659082269,0000-0003-1008-1935
99659076747,0000-0002-7207-1276
99659020909,0000-0003-1104-0043
99658613384,0000-0001-6118-7938
99658702532,0000-0002-3450-0447
99659161013,0000-0002-0897-8105
99659319638,0000-0002-7722-6038
81474702153,0000-0002-7798-308X
99658635613,0000-0003-0399-8032
99659163243,0000-0003-4438-3544
99659131032,0000-0002-3167-4716
99659037296,0000-0001-7708-4802
81502671625,0000-0003-0073-2378
99659163360,0000-0002-1794-2171
99659579861,0000-0002-1026-315X
81416599138,0000-0002-1319-7071
99659058410,0000-0002-9399-7617
99659067813,0000-0001-9518-4364
89558635157,0000-0001-5615-2597
87258642957,0000-0003-1220-3983
83458666657,0000-0003-2599-8308
99659160423,0000-0003-0492-3040
81100013275,0000-0002-9076-9571
81320492504,0000-0002-9813-0377
99659161020,0000-0001-7515-3755
81490694758,0000-0001-5870-9221
99659161574,0000-0001-9797-2495
81502683880,0000-0002-2494-1556
99659248963,0000-0003-4543-7196
81488646953,0000-0001-6740-4550
99659247650,0000-0003-1224-1939
81557055156,0000-0002-9776-9400
99659260323,0000-0001-5298-6797
87258776757,0000-0002-0466-2445
81100411664,0000-0002-9148-085X
99659161275,0000-0002-2018-1190
99659120383,0000-0003-0874-3338
81384620808,0000-0001-5620-6305
99659261191,0000-0001-5206-3212
99659261327,0000-0001-7837-174X
81384596893,0000-0003-3855-9961
81553594456,0000-0003-0807-2714
99659261924,0000-0002-8704-8503
81100240888,0000-0001-6290-2681
99659260724,0000-0003-2725-4003
99659261723,0000-0002-8640-0544
99659296796,0000-0001-7477-6782
99659059922,0000-0002-1165-3619
99659261810,0000-0002-4290-2120
99659510709,0000-0001-9446-0419
99659131975,0000-0002-9282-559X
99659260328,0000-0001-5207-5029
99659365229,0000-0002-8773-6656
99659260376,0000-0003-3529-0653
99659021644,0000-0003-1281-2180
99658993819,0000-0002-9194-8889
81490689705,0000-0003-1781-0029
99659260925,0000-0001-9200-5164
81508687882,0000-0002-7950-5495
81460655026,0000-0001-6039-1806
81484657798,0000-0002-8071-6716
99659839266,0000-0003-3464-5838
99659260944,0000-0002-2223-2801
99659021377,0000-0002-2833-8041
99659093884,0000-0003-2712-7274
99659260825,0000-0002-1147-301X
81488655407,0000-0003-2677-5907
99659261459,0000-0002-2398-2348
99658770761,0000-0001-5769-6297
99658750225,0000-0002-7005-7390
87959192157,0000-0002-5903-0736
99658769787,0000-0001-6300-9035
99659261765,0000-0003-2971-2223
99659260836,0000-0001-7099-6104
99659214489,0000-0002-2846-7687
99659261824,0000-0002-6335-5904
99659196818,0000-0001-8901-1256
81502694399,0000-0002-7808-1686
99658697518,0000-0002-0405-1169
99659085848,0000-0003-3669-1387
99658749229,0000-0002-1003-0399
81490687878,0000-0001-7411-8042
81339515235,0000-0002-2861-9492
81100337801,0000-0002-3344-9694
99659260385,0000-0001-6726-4009
81310486353,0000-0003-3944-5261
99659534445,0000-0001-5930-3899
81435609174,0000-0003-1336-3743
81554583556,0000-0002-3009-3899
99659161047,0000-0001-9960-1436
81100334409,0000-0001-5034-2023
81100355442,0000-0003-1275-2026
81363600306,0000-0002-3072-7185
81502808453,0000-0003-4884-9612
81100238140,0000-0003-0634-7569
99659079011,0000-0002-2000-1524
99659201096,0000-0001-6166-6138
99659246758,0000-0002-3178-267X
81330499151,0000-0002-4174-7245
89758877757,0000-0003-3022-071X
99658684885,0000-0001-8661-9426
99659162049,0000-0002-7761-6351
81100052215,0000-0002-6452-6998
99659260950,0000-0001-8409-4910
99659131610,0000-0002-9871-4575
99659261900,0000-0003-2906-7391
99659334070,0000-0001-9736-6890
99658734228,0000-0002-6571-0623
81472656658,0000-0002-9808-5844
99659233507,0000-0002-5403-9387
99659261761,0000-0002-3424-0972
81493641324,0000-0003-4325-1689
99658654086,0000-0002-5468-9347
99659260538,0000-0002-4461-0551
99659261117,0000-0002-5690-5963
83058691657,0000-0002-5268-004X
99659261837,0000-0001-5355-8399
99659089605,0000-0001-5262-4147
99658766961,0000-0001-5207-5352
81470648756,0000-0002-3762-5851
99658628421,0000-0002-7007-7500
99659365852,0000-0001-5269-9579
99659365791,0000-0003-3389-2466
99659366946,0000-0002-3968-461X
81418598183,0000-0003-3830-8249
99659365720,0000-0002-3956-7800
81333489832,0000-0001-6328-5064
99658654458,0000-0002-2022-9588
81553917956,0000-0002-2337-9610
81436596812,0000-0002-4520-7000
81472654980,0000-0002-0493-413X
99659261707,0000-0002-0678-1157
81100066959,0000-0001-8859-6539
99659365450,0000-0002-4817-2640
81500664028,0000-0003-3845-6305
99659365879,0000-0002-4939-1087
99659214433,0000-0002-3941-0336
99659163410,0000-0002-1408-4511
81501685129,0000-0001-6165-4495
81100199891,0000-0002-3620-2582
99659040701,0000-0003-2523-7808
99659275091,0000-0002-5700-3136
99659320224,0000-0002-7570-9474
99659366457,0000-0003-2852-4423
99659365241,0000-0003-4656-2175
99658747079,0000-0001-6950-0570
99659130807,0000-0001-5484-9980
99659131956,0000-0002-8147-5168
99659079629,0000-0002-0311-720X
99659366078,0000-0002-3709-3787
99659366076,0000-0003-1251-5629
81464642529,0000-0002-9621-6214
87959411957,0000-0002-0486-1743
99659122644,0000-0001-7752-1101
99659296394,0000-0003-0544-6303
99659213623,0000-0002-0429-6537
99659366939,0000-0002-0644-3254
99659313268,0000-0001-8968-846X
99659314639,0000-0002-8825-5782
99659480701,0000-0002-1737-1276
99659314011,0000-0002-4944-8477
81100286130,0000-0002-9340-9600
99659022012,0000-0001-7396-9507
99659365134,0000-0001-8776-6030
99659367253,0000-0001-7668-2800
99659366232,0000-0001-9433-4500
99658762534,0000-0002-8253-887X
99659077003,0000-0002-8057-7103
